airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
DEN,1.5473932055163135,2.102651132923585,1.3259484615268762,3.4367771481797718,3.247426841574167,3.8325312427229683,1.162125798856374,1.986461486713757,1.0343087790110999,1.1498486377396568,3.3562058526740666,,,2.4532958791283717,,,3.55129498822738,,3.901614530776993,3.217552172450606,3.7941473259334004,,1.984944500504541
DFW,,1.8063403969054828,,,,3.6125719712708495,2.235685269994049,,1.5529767911200807,1.1218970736629668,2.531019172552977,,1.3814328960645812,1.7830726538849646,1.6040363269424822,2.8314833501513625,1.8981561324649117,4.211234443323242,,3.3458627648839556,4.332492431886983,3.403884964682139,2.0289270097544567
DHN,,,,,,,1.5268345340623752,,2.241034696887371,,,,,,,,,2.256970630410537,,,,,
DIK,,,,,,,,,2.0213223358048524,,,,,,,,,1.3587010366021466,,,,,
DLG,,1.1223576289166601,,,,,,,,,,,1.2270854355869492,,,,,,,,,,
DLH,,,,,,1.18885595358224,1.4652539522367978,1.4912546249579548,,,,,,,,,1.3267532795156407,2.5319288692572774,,,,1.6766498486377395,
DRO,,,,1.1049445005045408,1.3950554994954592,,,1.5097880928355196,1.4805436427850656,,1.242053481331988,,,,2.4659074527893905,,1.6022704339051463,2.227669717109155,,,,1.9643457786747391,
DRT,,,,,,,,1.312070539618471,,,,,,,,,,1.7511237501146684,,,,,
DSM,,,2.34836105595521,2.35855408961023,2.9771947527749747,1.4799711161925218,2.7947283123872424,2.2290378108862114,2.4144513738399698,1.0466012292450233,1.335081852373844,,,,1.7858896737302388,1.7102100724704155,1.802701929304035,2.6114499522248913,1.9120996531811514,,1.1514968045745038,2.225442778106406,
DTW,1.894996141746305,1.2245674029225997,,3.5104692230070635,3.9656912209889,3.766902119071645,3.9076690211907166,2.096045129053044,2.1531475587984166,1.3388832828792465,2.2389421459804915,,,2.4485613237584865,2.280160791384758,2.0852080489107854,3.239548796309644,3.7092723399484244,3.48686175580222,3.0002018163471242,2.9819282634620676,2.309068573684903,
