airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
ILG,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761,1.7010993679961761
ILM,1.762188581546776,1.762188581546776,1.762188581546776,1.9404978136562394,1.762188581546776,1.31614336722813,1.7651001874008938,1.623948873192062,2.0209705531602604,1.762188581546776,1.762188581546776,1.762188581546776,1.762188581546776,1.762188581546776,1.453937287438801,2.5238469757226807,2.0201816347124115,1.7385686868087296,1.762188581546776,1.762188581546776,1.2186904361475501,1.762188581546776,1.762188581546776
IMT,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324,1.4932074622011324
IND,2.6961476820798955,1.2176429975038505,3.138145268198097,3.197605112680794,2.330348133198789,3.171627118291427,2.7973354392430423,2.4305224291349417,3.0687670516126624,2.6310124453414057,1.9764992369340595,2.4348390046578783,2.4348390046578783,2.4348390046578783,1.6926206829204777,1.825730078166182,3.2591321897073664,2.170233859118027,3.1300163005511137,2.4136161624836294,2.1688237616812183,2.284514761291995,1.096439383018596
INL,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603,1.431197443659603
IPT,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295,1.6370669357551295
ISN,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9639334657074965,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.8624285233770603,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784,1.9131809945422784
ISP,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,2.863157304630564,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882,3.2664119936572003,3.064784649143882,3.064784649143882,3.064784649143882,3.064784649143882
ITH,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3365553136119814,1.3085176361691313,1.0348133198789102,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.2219259045696986,1.1422805247225025,1.807013118062563,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313,1.3085176361691313
ITO,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,1.780032071596703,2.0736004572122555,1.780032071596703,1.780032071596703,2.0902119071644805,1.780032071596703,1.780032071596703,1.780032071596703,1.7496773285147724,1.780032071596703,1.780032071596703,1.206638593495304,1.780032071596703
IYK,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547,1.046417759838547
JAC,1.669447949565808,1.1094465574788481,1.1957618567103936,2.1624524567259176,1.669447949565808,1.8459878032729349,1.669447949565808,1.669447949565808,1.344904137235116,1.669447949565808,1.1207405107506017,1.669447949565808,1.669447949565808,1.669447949565808,1.669447949565808,1.669447949565808,1.669447949565808,2.2278886042760915,1.669447949565808,1.669447949565808,1.669447949565808,2.3484016700765604,1.669447949565808
JAN,2.0393811714692225,2.0393811714692225,2.0393811714692225,2.0393811714692225,2.6537588294651866,2.0193332916603413,1.2447884620117644,1.8483092014174078,2.991979539997912,1.8865343648391075,1.2566991815225923,2.0393811714692225,2.0393811714692225,2.0393811714692225,2.2125889764638504,2.447572268059595,1.0279179280188362,1.8736066458592449,3.0094853683148335,2.0393811714692225,2.0393811714692225,2.0393811714692225,2.0393811714692225
JAX,1.6535288181872143,2.318743910804029,1.9077728972517363,2.964951227716112,2.7599646821392536,3.062359104278936,2.5612249374808056,2.132846218375014,2.5231566860363968,1.8234106962663976,1.7773845203849572,2.318743910804029,2.318743910804029,2.9640384146977974,1.9721803927656603,2.0808029844356786,2.647533685522645,1.4167951120524278,3.4412947294884733,1.7679112008072653,2.5686833677006096,2.0302946296891804,2.318743910804029
JFK,2.8246752041797043,2.00707798760271,2.8246752041797043,2.5656361801669574,2.8246752041797043,2.016902119071645,2.233097880928355,3.259489249398432,3.350971241170535,2.8246752041797043,2.8246752041797043,1.374414372207006,2.8246752041797043,3.3095358224016147,2.8246752041797043,1.6973531009857954,2.827757509896763,3.8864783047426843,2.8246752041797043,2.8246752041797043,4.058728557013118,3.0971154180730016,3.8608951148572443
JLN,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6039354187689203,1.6793535408419364,1.6793535408419364,1.6322737975109316,1.826981293177055,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.3117053481331988,1.6793535408419364,1.6793535408419364,2.021871846619576,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6793535408419364,1.6793535408419364
